objectid,type,latitude,longitude,timestamp
790,bus,36.97261973025,127.87067576345,2024-06-19 16:57-21.861
790,bus,36.97261973025,127.87067576345,2024-06-19 16:57-21.896
790,bus,36.97261973025,127.87067576345,2024-06-19 16:57-21.923
790,bus,36.97261973025,127.87067576345,2024-06-19 16:57-21.958
790,bus,36.97261973025,127.87067576345,2024-06-19 16:57-21.988
790,bus,36.97261973025,127.87067576345,2024-06-19 16:57-22.051
790,bus,36.97261973025,127.87067576345,2024-06-19 16:57-22.088
790,bus,36.97261973025,127.87067576345,2024-06-19 16:57-22.116
790,bus,36.97261973025,127.87067576345,2024-06-19 16:57-22.156
790,bus,36.97261973025,127.87067576345,2024-06-19 16:57-22.181
790,bus,36.97261973025,127.87067576345,2024-06-19 16:57-22.224
790,bus,36.97261973025,127.87067576345,2024-06-19 16:57-22.249
790,bus,36.97261973025,127.87067576345,2024-06-19 16:57-22.287
790,bus,36.97261973025,127.87067576345,2024-06-19 16:57-22.315
790,bus,36.97261973025,127.87067576345,2024-06-19 16:57-22.356
790,bus,36.97261973025,127.87067576345,2024-06-19 16:57-22.381
790,bus,36.97261973025,127.87067576345,2024-06-19 16:57-22.423
790,bus,36.97261973025,127.87067576345,2024-06-19 16:57-22.450
790,bus,36.97261973025,127.87067576345,2024-06-19 16:57-22.492
790,bus,36.97261973025,127.87067576345,2024-06-19 16:57-22.522
790,bus,36.97261973025,127.87067576345,2024-06-19 16:57-22.555
790,bus,36.97261973025,127.87067576345,2024-06-19 16:57-22.591
790,bus,36.97261706722,127.87068249271,2024-06-19 16:57-22.617
790,bus,36.97261758716,127.87067992683,2024-06-19 16:57-22.657
790,bus,36.97261758716,127.87067992683,2024-06-19 16:57-22.692
790,bus,36.97261758716,127.87067992683,2024-06-19 16:57-22.723
790,bus,36.97261758716,127.87067992683,2024-06-19 16:57-22.762
790,bus,36.97261758716,127.87067992683,2024-06-19 16:57-22.795
790,bus,36.97261758716,127.87067992683,2024-06-19 16:57-22.824
790,bus,36.97261758716,127.87067992683,2024-06-19 16:57-22.858
790,bus,36.97261919656,127.87067635848,2024-06-19 16:57-22.894
